Run,AgentID,Day,SleepDuration,NightSMUse
1,0,1,8.280262928838308,0.0
1,0,2,8.266053467513903,0.0
1,0,3,8.11410693737192,0.0
1,0,4,8.319962891894216,0.0
1,0,5,8.418031069341117,0.0
1,0,6,8.078554385704177,0.0
1,0,7,8.1008387144112,0.0
1,0,8,8.409954403439285,0.0
1,0,9,8.112448393350105,0.0
1,0,10,7.530264132211843,0.0
1,0,11,8.311521029739797,0.0
1,0,12,8.187843185996904,0.0
1,0,13,7.738076855240921,0.0
1,0,14,8.069430461745343,0.0
1,0,15,8.329371784781888,0.0
1,0,16,8.222510351347907,0.0
1,0,17,8.248730072450083,0.0
1,0,18,7.675731372285453,0.0
1,0,19,7.513496904018524,0.0
1,0,20,7.666101028032179,0.0
1,0,21,8.029562753494442,0.0
1,0,22,8.075355874310421,0.0
1,0,23,8.488805574224667,0.0
1,0,24,8.106774414129763,0.0
1,0,25,7.869191455126052,0.0
1,0,26,8.384585218241906,0.0
1,0,27,7.601130982585964,0.0
1,0,28,7.778086683471756,0.0
1,0,29,8.242192646942774,0.0
1,0,30,7.841649879069709,0.0
1,1,1,7.681963136552137,0.0
1,1,2,7.5156457963635495,0.0
1,1,3,8.092203158360368,0.0
1,1,4,8.067820728289208,0.0
1,1,5,7.773977498474359,0.0
1,1,6,7.628381782051578,0.0
1,1,7,8.320453180130498,0.0
1,1,8,8.18464029037852,0.0
1,1,9,7.727427977452676,0.0
1,1,10,7.851440820683927,0.0
1,1,11,8.178397837296192,0.0
1,1,12,7.619354663526403,0.0
1,1,13,8.306687245617884,0.0
1,1,14,7.550922180219367,0.0
1,1,15,8.472081804032488,0.0
1,1,16,8.291914888366131,0.0
1,1,17,7.897970219694145,0.0
1,1,18,7.806549553489886,0.0
1,1,19,8.457617691097116,0.0
1,1,20,7.848085554016851,0.0
1,1,21,7.933565341749672,0.0
1,1,22,8.43180904992854,0.0
1,1,23,8.42451585256811,0.0
1,1,24,7.7749514180546555,0.0
1,1,25,7.815338085975492,0.0
1,1,26,7.968326398936527,0.0
1,1,27,7.742744219197214,0.0
1,1,28,8.31672464146633,0.0
1,1,29,7.999694930763894,0.0
1,1,30,8.244793893094569,0.0
1,2,1,7.232618286481975,1.0
1,2,2,6.900896713092507,1.0
1,2,3,7.504735615959734,1.0
1,2,4,7.764218274732741,1.0
1,2,5,7.3051263749371635,1.0
1,2,6,7.400546021805411,1.0
1,2,7,7.459648750057853,1.0
1,2,8,7.542926892131152,1.0
1,2,9,6.952749154168852,1.0
1,2,10,6.970801544802318,1.0
1,2,11,7.775853269428673,1.0
1,2,12,7.79433295406867,1.0
1,2,13,7.384326220581206,1.0
1,2,14,7.430409880337339,1.0
1,2,15,7.73350681604304,1.0
1,2,16,6.987846552050061,1.0
1,2,17,7.78702549314796,1.0
1,2,18,7.289618600126658,1.0
1,2,19,7.536131510274524,1.0
1,2,20,7.7717445051642375,1.0
1,2,21,7.446344857282521,1.0
1,2,22,7.199219659109748,1.0
1,2,23,6.941003125130951,1.0
1,2,24,6.843917387692167,1.0
1,2,25,6.829564568071816,1.0
1,2,26,7.1330120980663985,1.0
1,2,27,7.3910844388139765,1.0
1,2,28,7.400129626769049,1.0
1,2,29,7.113474674119926,1.0
1,2,30,7.373692591037759,1.0
1,3,1,6.8554128500177764,1.0
1,3,2,7.397784896731553,1.0
1,3,3,7.552325495360492,1.0
1,3,4,7.060990938923609,1.0
1,3,5,6.9238728588907,1.0
1,3,6,7.304110119353164,1.0
1,3,7,7.524186798077755,1.0
1,3,8,7.212903876513247,1.0
1,3,9,7.709735393564171,1.0
1,3,10,7.404440231432604,1.0
1,3,11,6.937329401981755,1.0
1,3,12,7.545565573586222,1.0
1,3,13,7.548374229252032,1.0
1,3,14,7.77948693793778,1.0
1,3,15,7.397867751500673,1.0
1,3,16,7.497941269112288,1.0
1,3,17,6.8015785775845545,1.0
1,3,18,7.500455535740838,1.0
1,3,19,7.50745575491313,1.0
1,3,20,6.814371017890099,1.0
1,3,21,7.019579764568715,1.0
1,3,22,7.497517908303502,1.0
1,3,23,7.638789995824531,1.0
1,3,24,7.053037953929408,1.0
1,3,25,6.966734305204936,1.0
1,3,26,7.504060310565127,1.0
1,3,27,6.903965453783441,1.0
1,3,28,7.195468473745877,1.0
1,3,29,6.990285051078436,1.0
1,3,30,7.592277799590027,1.0
1,4,1,7.653015466810201,0.0
1,4,2,7.548676321243749,0.0
1,4,3,7.562563751469164,0.0
1,4,4,8.300816821999495,0.0
1,4,5,7.872466761535307,0.0
1,4,6,8.479500760205044,0.0
1,4,7,7.953470145140091,0.0
1,4,8,7.6824071790026425,0.0
1,4,9,8.042233751205892,0.0
1,4,10,7.602932210308954,0.0
1,4,11,8.29310166994655,0.0
1,4,12,8.065574589640413,0.0
1,4,13,7.922868998482886,0.0
1,4,14,8.237078313370505,0.0
1,4,15,7.880153514439179,0.0
1,4,16,7.949971935547472,0.0
1,4,17,8.196316707267162,0.0
1,4,18,8.051542231969938,0.0
1,4,19,7.980425430533824,0.0
1,4,20,7.51619126872677,0.0
1,4,21,7.53568795751952,0.0
1,4,22,7.970978706605187,0.0
1,4,23,7.527350124704775,0.0
1,4,24,8.471140694410957,0.0
1,4,25,7.931530791635759,0.0
1,4,26,8.247650280093263,0.0
1,4,27,8.208529088555737,0.0
1,4,28,7.949128204054298,0.0
1,4,29,7.542699483713989,0.0
1,4,30,7.896350175751324,0.0
1,5,1,7.822660751154555,0.0
1,5,2,7.902265350810906,0.0
1,5,3,8.371979330009886,0.0
1,5,4,8.235352868782368,0.0
1,5,5,7.677583694163862,0.0
1,5,6,8.262374656261793,0.0
1,5,7,7.72981378717878,0.0
1,5,8,8.136892709548347,0.0
1,5,9,7.638576526798537,0.0
1,5,10,8.29675777336196,0.0
1,5,11,8.093085253040847,0.0
1,5,12,8.127996047481245,0.0
1,5,13,7.67515425543568,0.0
1,5,14,8.054304525248902,0.0
1,5,15,8.132206940745967,0.0
1,5,16,7.874700167320298,0.0
1,5,17,8.154521191778334,0.0
1,5,18,8.396570243298735,0.0
1,5,19,7.944326198216267,0.0
1,5,20,8.00208520009407,0.0
1,5,21,7.565847385914115,0.0
1,5,22,7.76305307189548,0.0
1,5,23,8.459856703062687,0.0
1,5,24,8.36318532167397,0.0
1,5,25,7.523408344025824,0.0
1,5,26,7.6191904369163534,0.0
1,5,27,8.337412026268394,0.0
1,5,28,7.722974591482612,0.0
1,5,29,7.964944816231538,0.0
1,5,30,8.380723015307485,0.0
1,6,1,7.846023082341873,0.0
1,6,2,7.7172692101775535,0.0
1,6,3,7.825984911598819,0.0
1,6,4,7.771955871832454,0.0
1,6,5,8.086880248422426,0.0
1,6,6,8.463593537679753,0.0
1,6,7,7.608570113901515,0.0
1,6,8,7.772134130451624,0.0
1,6,9,8.300105059164094,0.0
1,6,10,8.149451412788958,0.0
1,6,11,7.6207454895518225,0.0
1,6,12,8.194245098667448,0.0
1,6,13,7.9394754127292,0.0
1,6,14,7.987496513125899,0.0
1,6,15,8.010328421602482,0.0
1,6,16,7.628345640790253,0.0
1,6,17,7.670634256127486,0.0
1,6,18,8.446510305642136,0.0
1,6,19,7.831756319693539,0.0
1,6,20,8.199317146086177,0.0
1,6,21,7.726465015728774,0.0
1,6,22,7.838045242588264,0.0
1,6,23,8.298992001974081,0.0
1,6,24,8.497231577393013,0.0
1,6,25,8.056439487219244,0.0
